x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
-4.126464426517486572e-01,3.386864364147186279e-01,-5.357653141021728516e+00,4.397383213043212891e+00
-4.056831002235412598e-01,3.334789276123046875e-01,-5.267243862152099609e+00,4.329770565032958984e+00
-3.987198472023010254e-01,3.282127678394317627e-01,-5.176835536956787109e+00,4.261396884918212891e+00
-3.917565941810607910e-01,3.228907883167266846e-01,-5.086427211761474609e+00,4.192297935485839844e+00
-3.847934603691101074e-01,3.175159990787506104e-01,-4.996020317077636719e+00,4.122513771057128906e+00
-3.778304159641265869e-01,3.120914697647094727e-01,-4.905614376068115234e+00,4.052083492279052734e+00
-3.708674609661102295e-01,3.066203296184539795e-01,-4.815209865570068359e+00,3.981048345565795898e+00
-3.639046549797058105e-01,3.011060059070587158e-01,-4.724807262420654297e+00,3.909452438354492188e+00
-3.569421768188476562e-01,2.955519855022430420e-01,-4.634408950805664062e+00,3.837340831756591797e+00
-3.499800264835357666e-01,2.899618446826934814e-01,-4.544014930725097656e+00,3.764760494232177734e+00
-3.430184125900268555e-01,2.843393683433532715e-01,-4.453628063201904297e+00,3.691760301589965820e+00
-3.360575437545776367e-01,2.786884605884552002e-01,-4.363250732421875000e+00,3.618391036987304688e+00
-3.290977478027343750e-01,2.730132639408111572e-01,-4.272887229919433594e+00,3.544706344604492188e+00
-3.221393823623657227e-01,2.673180699348449707e-01,-4.182542324066162109e+00,3.470761775970458984e+00
-3.151829838752746582e-01,2.616074383258819580e-01,-4.092222690582275391e+00,3.396617174148559570e+00
-3.082292675971984863e-01,2.558861970901489258e-01,-4.001938343048095703e+00,3.322334527969360352e+00
-3.012792170047760010e-01,2.501594126224517822e-01,-3.911701202392578125e+00,3.247980117797851562e+00
-2.943340241909027100e-01,2.444325685501098633e-01,-3.821527242660522461e+00,3.173624753952026367e+00
-2.873952686786651611e-01,2.387115210294723511e-01,-3.731436967849731445e+00,3.099344730377197266e+00
-2.804650962352752686e-01,2.330026179552078247e-01,-3.641458272933959961e+00,3.025222301483154297e+00
-2.735459804534912109e-01,2.273126691579818726e-01,-3.551622867584228516e+00,2.951346158981323242e+00
-2.666412293910980225e-01,2.216491252183914185e-01,-3.461974143981933594e+00,2.877812623977661133e+00
-2.597548961639404297e-01,2.160201370716094971e-01,-3.372564315795898438e+00,2.804728031158447266e+00
-2.528917491436004639e-01,2.104344367980957031e-01,-3.283455610275268555e+00,2.732205152511596680e+00
-2.460577487945556641e-01,2.049015909433364868e-01,-3.194725513458251953e+00,2.660368680953979492e+00
-2.392598539590835571e-01,1.994319111108779907e-01,-3.106464147567749023e+00,2.589352369308471680e+00
-2.325059175491333008e-01,1.940362453460693359e-01,-3.018773317337036133e+00,2.519296884536743164e+00
-2.258053272962570190e-01,1.887263506650924683e-01,-2.931775331497192383e+00,2.450355291366577148e+00
-2.191679477691650391e-01,1.835140138864517212e-01,-2.845597982406616211e+00,2.382680177688598633e+00
