x_mm,contour_wall
6.347497552633285522e+01,1.894254168782800174e-01
6.390099227428436279e+01,1.886661382946080989e-01
6.432700157165527344e+01,1.879094883453952813e-01
6.475301831960678101e+01,1.871544585608176658e-01
6.517902761697769165e+01,1.864076453254613075e-01
6.560504436492919922e+01,1.856722228394278029e-01
6.603106111288070679e+01,1.849335434918317200e-01
6.645707041025161743e+01,1.842037419851447477e-01
6.688308715820312500e+01,1.834837937246064088e-01
6.730909645557403564e+01,1.827671023256306204e-01
6.773511320352554321e+01,1.820505927818689695e-01
6.816112995147705078e+01,1.813477554437531725e-01
6.858713924884796143e+01,1.806473318202979628e-01
6.901315599679946899e+01,1.799466436801676061e-01
6.943917274475097656e+01,1.792591483092094151e-01
6.986518204212188721e+01,1.785733557643473801e-01
7.029119879007339478e+01,1.778881749142965929e-01
7.071720808744430542e+01,1.772102517405197142e-01
7.114322483539581299e+01,1.765418181024631661e-01
7.156924158334732056e+01,1.758691852621889207e-01
7.199525088071823120e+01,1.752036447752666204e-01
7.242126762866973877e+01,1.745466845479939078e-01
7.284727692604064941e+01,1.738905674676231583e-01
7.327329367399215698e+01,1.732340536122397023e-01
7.369931042194366455e+01,1.725899389760030544e-01
7.412531971931457520e+01,1.719471965200186081e-01
7.455133646726608276e+01,1.713046359192483548e-01
7.497734576463699341e+01,1.706690519457846611e-01
7.540336251258850098e+01,1.700429740403334999e-01
7.582937926054000854e+01,1.694131763691383019e-01
7.625538855791091919e+01,1.687901238731589759e-01
7.668140530586242676e+01,1.681771064785424208e-01
7.710742205381393433e+01,1.675606338348569480e-01
7.753343135118484497e+01,1.669509394309717232e-01
7.795944809913635254e+01,1.663492301242170401e-01
7.838545739650726318e+01,1.657495873539867881e-01
7.881147414445877075e+01,1.651497461962502245e-01
7.923749089241027832e+01,1.645606840930252113e-01
7.966350018978118896e+01,1.639732917513120058e-01
8.008951693773269653e+01,1.633865111044100205e-01
8.051552623510360718e+01,1.628054671628999528e-01
8.094154298305511475e+01,1.622326563029033442e-01
8.136755973100662231e+01,1.616559438219485334e-01
8.179356902837753296e+01,1.610853482891061450e-01
8.221958577632904053e+01,1.605215805929405826e-01
8.264559507369995117e+01,1.599586725759691852e-01
8.307161182165145874e+01,1.593946568954206777e-01
8.349762856960296631e+01,1.588413045433384185e-01
8.392363786697387695e+01,1.582886961444049390e-01
8.434965461492538452e+01,1.577343353224987255e-01
8.477567136287689209e+01,1.571904229092601912e-01
8.520168066024780273e+01,1.566474859012612075e-01
8.562769740819931030e+01,1.561042347797105267e-01
8.605370670557022095e+01,1.555661417333248642e-01
8.647972345352172852e+01,1.550362652361604865e-01
8.690574020147323608e+01,1.545024375211613288e-01
8.733174949884414673e+01,1.539741977209243273e-01
8.775776624679565430e+01,1.534528518865329316e-01
8.818377554416656494e+01,1.529329112969781690e-01
8.860979229211807251e+01,1.524117803823853146e-01
8.903580904006958008e+01,1.519007837629084146e-01
8.946181833744049072e+01,1.513910435976383861e-01
8.988783508539199829e+01,1.508812869000761836e-01
9.031384438276290894e+01,1.503767378745556049e-01
9.073986113071441650e+01,1.498795457190621183e-01
9.116587787866592407e+01,1.493787164592856043e-01
9.159188717603683472e+01,1.488831775330116680e-01
9.201790392398834229e+01,1.483938051517267598e-01
9.244391322135925293e+01,1.479052759173438425e-01
9.286992996931076050e+01,1.474154406318774202e-01
9.329594671726226807e+01,1.469353263342220994e-01
9.372195601463317871e+01,1.464551459073979989e-01
9.414797276258468628e+01,1.459733122513543202e-01
9.457398951053619385e+01,1.455013318414592749e-01
9.499999880790710449e+01,1.450278469929744407e-01
