x_mm,contour_wall,center,center_T,center_g,contour_g
-3.285314515233039856e+01,9.891493937277805459e-01,9.865725384078212201e-01,2.855485229492187500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.242424130439758301e+01,9.887443525689859625e-01,9.862660297105129148e-01,2.855232543945312500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.199533745646476746e+01,9.883373936642966262e-01,9.859427242043338202e-01,2.854965515136718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.156643360853195190e+01,9.879268637844930145e-01,9.856020928559335870e-01,2.854684753417968750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.113752976059913635e+01,9.875093242127983562e-01,9.852433421152869686e-01,2.854388732910156250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.070862405002117157e+01,9.870856346284069271e-01,9.848657445615371930e-01,2.854077148437500000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.027972020208835602e+01,9.866511659895039754e-01,9.844683743863212877e-01,2.853748779296875000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.985081635415554047e+01,9.862061166835957016e-01,9.840504380396140061e-01,2.853403625488281250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.942191064357757568e+01,9.857477754147621063e-01,9.836109435838835680e-01,2.853041076660156250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.899300679564476013e+01,9.852756131496529513e-01,9.831487668232605781e-01,2.852659301757812500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.856410294771194458e+01,9.847872492381919418e-01,9.826627835618757523e-01,2.852257690429687500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.813519723713397980e+01,9.842815594845099048e-01,9.821519357330286137e-01,2.851835021972656250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.770629338920116425e+01,9.837566261427120873e-01,9.816145039783308324e-01,2.851390075683593750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.727738954126834869e+01,9.832101346918910023e-01,9.810495624894193245e-01,2.850922851562500000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.684848569333553314e+01,9.826411593236837883e-01,9.804550612620619443e-01,2.850430297851562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.641957998275756836e+01,9.820467903546639121e-01,9.798295454545454808e-01,2.849912414550781250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.599067613482475281e+01,9.814255068139495775e-01,9.791710973209750701e-01,2.849367065429687500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.556177228689193726e+01,9.807747296639580670e-01,9.784777329862874851e-01,2.848792114257812500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.513286657631397247e+01,9.800923427712883162e-01,9.777470056712375124e-01,2.848186035156250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.470396272838115692e+01,9.793747751608261609e-01,9.769769315007618138e-01,2.847546691894531250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.427505888044834137e+01,9.786207042491958941e-01,9.761645346622651598e-01,2.846872558593750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.384615316987037659e+01,9.778255009945826526e-01,9.753074345056712557e-01,2.846159973144531250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.341724932193756104e+01,9.769862557135602366e-01,9.744022584433722489e-01,2.845408020019531250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.298834547400474548e+01,9.760986038809886800e-01,9.734456338877602866e-01,2.844611816406250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.255943976342678070e+01,9.751587761342475069e-01,9.724343866387337165e-01,2.843769531250000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.213053591549396515e+01,9.741608208481462583e-01,9.713642844294904100e-01,2.842877807617187500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.170163206756114960e+01,9.730989847850008978e-01,9.702312933807347717e-01,2.841932678222656250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.127272821962833405e+01,9.719649356695445608e-01,9.690306521923142125e-01,2.840929870605468750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.084871754050254822e+01,9.707656831936685160e-01,9.677727431437277428e-01,2.839879760742187500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.042467519640922546e+01,9.694821160275943761e-01,9.664387194218723165e-01,2.838764038085937500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.000056765973567963e+01,9.681094728711697739e-01,9.650228277890637862e-01,2.837578735351562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.957635954022407532e+01,9.666424633908922148e-01,9.635189843617741889e-01,2.836318969726562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.915201917290687561e+01,9.650747391865582836e-01,9.619208407398002203e-01,2.834977722167968750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.872751675546169281e+01,9.633993566954460741e-01,9.602207259395632022e-01,2.833549804687500000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.830281503498554230e+01,9.616080497714576403e-01,9.584111673649906571e-01,2.832026977539062500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.787788607180118561e+01,9.596928167851701552e-01,9.564833037074657041e-01,2.830403137207031250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.745269633829593658e+01,9.576434077154223345e-01,9.544280752708650395e-01,2.828669433593750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.702721416950225830e+01,9.554501015744032433e-01,9.522354965507026092e-01,2.826816711425781250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.660140790045261383e+01,9.530999370450312647e-01,9.498947223632977499e-01,2.824835510253906250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.617524959146976471e+01,9.505818044269510603e-01,9.473941801041138033e-01,2.822715454101562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.574870757758617401e+01,9.478847924073133813e-01,9.447209084560690417e-01,2.820444030761718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.532175298780202866e+01,9.449885332021330520e-01,9.418614170687320541e-01,2.818009338378906250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.489435788244009018e+01,9.418801316234975962e-01,9.388005623624513518e-01,2.815396728515625000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.446649339050054550e+01,9.385416005374979109e-01,9.355223410783816140e-01,2.812593078613281250e+02,0.000000000000000000e+00,0.000000000000000000e+00
