x_mm,contour_wall,center,center_T,center_g,contour_g
2.172561921179294586e+01,3.451235359002031711e-01,3.452413450143896889e-01,2.135797729492187500e+02,7.864789804443717003e-04,0.000000000000000000e+00
2.215163223445415497e+01,3.442200461317081461e-01,3.443325979769764622e-01,2.136875610351562500e+02,8.972723153419792652e-04,0.000000000000000000e+00
2.257764711976051331e+01,3.434350598336718963e-01,3.435401060182833866e-01,2.138411102294921875e+02,1.018383540213108063e-03,0.000000000000000000e+00
2.300366014242172241e+01,3.427676842623159081e-01,3.428678368884374716e-01,2.140417175292968750e+02,1.149995950981974602e-03,0.000000000000000000e+00
2.342967502772808075e+01,3.422185476447435204e-01,3.423175099458269921e-01,2.142900695800781250e+02,1.292193657718598843e-03,0.000000000000000000e+00
2.385568805038928986e+01,3.417896338560182934e-01,3.418837025986118383e-01,2.145852203369140625e+02,1.444953493773937225e-03,0.000000000000000000e+00
2.428170107305049896e+01,3.414754872397156027e-01,3.415564624068901378e-01,2.149253845214843750e+02,1.608139951713383198e-03,0.000000000000000000e+00
2.470771595835685730e+01,3.412731650478246226e-01,3.413358885644151020e-01,2.153093109130859375e+02,1.781509490683674812e-03,0.000000000000000000e+00
2.513372898101806641e+01,3.411677551527848573e-01,3.412465811219739242e-01,2.157380828857421875e+02,1.964739058166742325e-03,0.000000000000000000e+00
2.555974386632442474e+01,3.411877592263416470e-01,3.412737932749280723e-01,2.162250061035156250e+02,2.157364739105105400e-03,0.000000000000000000e+00
2.598575688898563385e+01,3.412878126587099992e-01,3.413692837946504244e-01,2.167385711669921875e+02,2.358819590881466866e-03,0.000000000000000000e+00
2.641177177429199219e+01,3.414668904477738409e-01,3.415448236731843390e-01,2.172854156494140625e+02,2.568445634096860886e-03,0.000000000000000000e+00
2.683778479695320129e+01,3.417209917788217588e-01,3.417950895124428623e-01,2.178641662597656250e+02,2.785498043522238731e-03,0.000000000000000000e+00
2.726379968225955963e+01,3.420442642204164496e-01,3.421115506496529290e-01,2.184718627929687500e+02,3.009149106219410896e-03,0.000000000000000000e+00
2.768981270492076874e+01,3.424268545264093633e-01,3.424860070678855672e-01,2.191046905517578125e+02,3.238506615161895752e-03,0.000000000000000000e+00
2.811582572758197784e+01,3.428575207381073242e-01,3.429113829460809226e-01,2.197590484619140625e+02,3.472622949630022049e-03,0.000000000000000000e+00
2.854184061288833618e+01,3.433241612176231583e-01,3.433787839110377660e-01,2.204306640625000000e+02,3.710506949573755264e-03,0.000000000000000000e+00
2.896785363554954529e+01,3.438146743270695804e-01,3.438764389707127389e-01,2.211150665283203125e+02,3.951135557144880295e-03,0.000000000000000000e+00
2.939386852085590363e+01,3.443162310077027000e-01,3.443911553559336203e-01,2.218071746826171875e+02,4.193469416350126266e-03,0.000000000000000000e+00
2.981988154351711273e+01,3.448196393050617647e-01,3.449103685246318052e-01,2.225026092529296875e+02,4.436465445905923843e-03,0.000000000000000000e+00
3.024589642882347107e+01,3.453133596791941873e-01,3.454205219972066865e-01,2.231963958740234375e+02,4.679085686802864075e-03,0.000000000000000000e+00
3.067190945148468018e+01,3.457868114630946454e-01,3.459084230044862096e-01,2.238834533691406250e+02,4.920320119708776474e-03,0.000000000000000000e+00
3.109792433679103851e+01,3.462292486668359648e-01,3.463610441002200613e-01,2.245586700439453125e+02,5.159200169146060944e-03,0.000000000000000000e+00
3.152393549680709839e+01,3.466289664275435944e-01,3.467663497756898749e-01,2.252174682617187500e+02,5.394815467298030853e-03,0.000000000000000000e+00
3.194995224475860596e+01,3.469734663323175705e-01,3.471161400139664566e-01,2.258557128906250000e+02,5.626311060041189194e-03,0.000000000000000000e+00
3.237596526741981506e+01,3.472539862662942234e-01,3.474120019151007432e-01,2.264725494384765625e+02,5.852919537574052811e-03,0.000000000000000000e+00
3.280197829008102417e+01,3.474570689436262128e-01,3.476485128872524033e-01,2.270658111572265625e+02,6.073949392884969711e-03,0.000000000000000000e+00
3.322799131274223328e+01,3.475918071250211350e-01,3.477819946144404817e-01,2.276375122070312500e+02,6.288741715252399445e-03,0.000000000000000000e+00
3.365400806069374084e+01,3.476217305738953933e-01,3.477793163831047751e-01,2.281382904052734375e+02,6.496855057775974274e-03,0.000000000000000000e+00
3.408002108335494995e+01,3.475633715824445469e-01,3.477241646563399291e-01,2.286254272460937500e+02,6.697852630168199539e-03,0.000000000000000000e+00
3.450603410601615906e+01,3.474199374153546516e-01,3.475835409789232999e-01,2.290815124511718750e+02,6.891403812915086746e-03,0.000000000000000000e+00
3.493204712867736816e+01,3.471874933870831015e-01,3.473493114630946121e-01,2.295016174316406250e+02,7.077273447066545486e-03,0.000000000000000000e+00
3.535806015133857727e+01,3.468630636850347226e-01,3.470222365942949305e-01,2.298851470947265625e+02,7.255324162542819977e-03,0.000000000000000000e+00
3.578407689929008484e+01,3.464458216945996427e-01,3.466023825016928961e-01,2.302319488525390625e+02,7.425481919199228287e-03,0.000000000000000000e+00
3.621008992195129395e+01,3.459375529033349994e-01,3.460893524102759411e-01,2.305417022705078125e+02,7.587751373648643494e-03,0.000000000000000000e+00
3.663610294461250305e+01,3.453414976405112524e-01,3.454845019680040652e-01,2.308149108886718750e+02,7.742211688309907913e-03,0.000000000000000000e+00
3.706211596727371216e+01,3.446609292999830987e-01,3.447920634416793417e-01,2.310524749755859375e+02,7.888990454375743866e-03,0.000000000000000000e+00
3.748813271522521973e+01,3.439002785360589232e-01,3.440177570044015698e-01,2.312559051513671875e+02,8.028262294828891754e-03,0.000000000000000000e+00
3.791414573788642883e+01,3.430638437447096623e-01,3.431676004105299049e-01,2.314266662597656250e+02,8.160243742167949677e-03,0.000000000000000000e+00
3.834015876054763794e+01,3.421560225156594082e-01,3.422476775435923657e-01,2.315664672851562500e+02,8.285186253488063812e-03,0.000000000000000000e+00
3.876617178320884705e+01,3.411817745365667842e-01,3.412631795433384019e-01,2.316767578125000000e+02,8.403359912335872650e-03,0.000000000000000000e+00
3.919218480587005615e+01,3.401458941721686169e-01,3.402195620661926379e-01,2.317592010498046875e+02,8.515054360032081604e-03,0.000000000000000000e+00
3.961820155382156372e+01,3.390534733684611446e-01,3.391221154456576792e-01,2.318155670166015625e+02,8.620568551123142242e-03,0.000000000000000000e+00
4.004421457648277283e+01,3.379107943964787530e-01,3.379756340464702968e-01,2.318473358154296875e+02,8.720211684703826904e-03,0.000000000000000000e+00
4.047022759914398193e+01,3.367235774293211303e-01,3.367848791687828025e-01,2.318560943603515625e+02,8.814281783998012543e-03,0.000000000000000000e+00
4.089624062180519104e+01,3.354972450588284971e-01,3.355545459835788114e-01,2.318435668945312500e+02,8.903094567358493805e-03,0.000000000000000000e+00
4.132225736975669861e+01,3.342362940684781014e-01,3.342892635326730755e-01,2.318110656738281250e+02,8.986937813460826874e-03,0.000000000000000000e+00
4.174827039241790771e+01,3.329451551125782727e-01,3.329938261808024214e-01,2.317604064941406250e+02,9.066102094948291779e-03,0.000000000000000000e+00
4.217428341507911682e+01,3.316280604579312508e-01,3.316728629697816011e-01,2.316930084228515625e+02,9.140874259173870087e-03,0.000000000000000000e+00
4.260029643774032593e+01,3.302880851108853655e-01,3.303302093914000093e-01,2.316101531982421875e+02,9.211522527039051056e-03,0.000000000000000000e+00
4.302630946040153503e+01,3.289292629507364341e-01,3.289692710978500134e-01,2.315132141113281250e+02,9.278299286961555481e-03,0.000000000000000000e+00
4.345232620835304260e+01,3.275540738213136849e-01,3.275932222892330992e-01,2.314034881591796875e+02,9.341445751488208771e-03,0.000000000000000000e+00
