x_mm,contour_wall,center,center_T,side_wall_mid
2.896785354614257812e+01,3.067763149738311768e-01,3.068717420101165771e-01,2.047295837402343750e+02,3.068524897098541260e-01
2.939386940002441406e+01,3.051583170890808105e-01,3.052518367767333984e-01,2.044210205078125000e+02,3.052332401275634766e-01
2.981988143920898438e+01,3.035595417022705078e-01,3.036515116691589355e-01,2.041150817871093750e+02,3.036333322525024414e-01
3.024589729309082031e+01,3.019794225692749023e-01,3.020699322223663330e-01,2.038115997314453125e+02,3.020523786544799805e-01
3.067190933227539062e+01,3.004181385040283203e-01,3.005075454711914062e-01,2.035106506347656250e+02,3.004898726940155029e-01
3.109792518615722656e+01,2.988743782043457031e-01,2.989638149738311768e-01,2.032122039794921875e+02,2.989457249641418457e-01
3.152393531799316406e+01,2.973485291004180908e-01,2.974379956722259521e-01,2.029161071777343750e+02,2.974193990230560303e-01
3.194995307922363281e+01,2.958394289016723633e-01,2.959293425083160400e-01,2.026222991943359375e+02,2.959104180335998535e-01
3.237596511840820312e+01,2.943469583988189697e-01,2.944370210170745850e-01,2.023305969238281250e+02,2.944182753562927246e-01
3.280197906494140625e+01,2.928712964057922363e-01,2.929606735706329346e-01,2.020410003662109375e+02,2.929423749446868896e-01
3.322799301147460938e+01,2.914121747016906738e-01,2.914999425411224365e-01,2.017534332275390625e+02,2.914826869964599609e-01
3.365400695800781250e+01,2.899692654609680176e-01,2.900549471378326416e-01,2.014679107666015625e+02,2.900388836860656738e-01
3.408002090454101562e+01,2.885421514511108398e-01,2.886256873607635498e-01,2.011845092773437500e+02,2.886103391647338867e-01
3.450603485107421875e+01,2.871299982070922852e-01,2.872116565704345703e-01,2.009031677246093750e+02,2.871972024440765381e-01
3.493204879760742188e+01,2.857334017753601074e-01,2.858132123947143555e-01,2.006239624023437500e+02,2.857991158962249756e-01
3.535805892944335938e+01,2.843508720397949219e-01,2.844294905662536621e-01,2.003466644287109375e+02,2.844157218933105469e-01
3.578407669067382812e+01,2.829824090003967285e-01,2.830604612827301025e-01,2.000714721679687500e+02,2.830468416213989258e-01
