x_mm,contour_wall,center,center_T
2.768981270492076874e+01,3.120501232647706069e-01,3.121638323704926110e-01,2.057303619384765625e+02
2.811582572758197784e+01,3.104351167047570415e-01,3.105469411291688075e-01,2.054261474609375000e+02
2.854184061288833618e+01,3.088425279329609086e-01,3.089469789550533529e-01,2.051239929199218750e+02
2.896785363554954529e+01,3.072715633993566842e-01,3.073654337544438619e-01,2.048242492675781250e+02
2.939386852085590363e+01,3.057209335851532317e-01,3.058033305294565740e-01,2.045270690917968750e+02
2.981988154351711273e+01,3.041881255819366969e-01,3.042611983134416720e-01,2.042326202392578125e+02
3.024589642882347107e+01,3.026700974479430983e-01,3.027394338814118901e-01,2.039410247802734375e+02
3.067190945148468018e+01,3.011665516019129685e-01,3.012383678792110997e-01,2.036523590087890625e+02
3.109792433679103851e+01,2.996777194959370227e-01,2.997573720797359065e-01,2.033665924072265625e+02
3.152393549680709839e+01,2.982047253258845454e-01,2.982947601891823286e-01,2.030833282470703125e+02
3.194995224475860596e+01,2.967488916751311878e-01,2.968483168803961458e-01,2.028022308349609375e+02
3.237596526741981506e+01,2.953109790291180148e-01,2.954155623095480188e-01,2.025227966308593750e+02
3.280197829008102417e+01,2.938907890003386036e-01,2.939955376036905155e-01,2.022449493408203125e+02
3.322799131274223328e+01,2.924883877179617619e-01,2.925880774399018391e-01,2.019685821533203125e+02
3.365400806069374084e+01,2.911029816319620767e-01,2.911942398848823554e-01,2.016939239501953125e+02
3.408002108335494995e+01,2.897333142881327039e-01,2.898153144574234230e-01,2.014213104248046875e+02
3.450603410601615906e+01,2.883793195573048918e-01,2.884519293846283805e-01,2.011508636474609375e+02
3.493204712867736816e+01,2.870391788873370431e-01,2.871042830540037061e-01,2.008825988769531250e+02
3.535806015133857727e+01,2.857109414677501125e-01,2.857722432072117846e-01,2.006165618896484375e+02
3.578407689929008484e+01,2.843932185859996409e-01,2.844559090380057720e-01,2.003528289794921875e+02
3.621008992195129395e+01,2.830866715337734818e-01,2.831553466755544202e-01,2.000913696289062500e+02
